"event_id","event_name","event_url","locale","current_date"
"k7vGFb3l6MPCw","Just A Little Homecoming Weekend - Saturday","https://www.ticketmaster.com/just-a-little-homecoming-weekend-saturday-albany-new-york-10-19-2024/event/0000612AC7DE53B2","en-us","2024-10-16"
"17A8vOG620sZ695","Blxst - I'll Always Come Find You Tour","https://concerts.livenation.com/blxst-ill-always-come-find-you-silver-spring-maryland-10-19-2024/event/150060F9310075CB","en-us","2024-10-16"
"G5eVZbGSaS6qU","Atmosphere - The Traveling Forever Tour","https://www.ticketmaster.com/atmosphere-the-traveling-forever-tour-charleston-south-carolina-10-19-2024/event/2D0060CCC9CC7776","en-us","2024-10-16"
"k7vGFborJdQoW","Represent! with Rakim, Big Daddy Kane, MC Lyte +more!","https://www.ticketmaster.com/represent-with-rakim-big-daddy-kane-newark-new-jersey-10-19-2024/event/00006117A60DA47D","en-us","2024-10-16"
"G5vYZbC-F49wj","Andre Nickatina Live At The Ace Of Spades Sacramento","https://concerts.livenation.com/andre-nickatina-live-at-the-ace-sacramento-california-10-19-2024/event/1C0060E848557C9C","en-us","2024-10-16"
"vv17fZb8GkBmZozP","Chris Webby","https://concerts.livenation.com/chris-webby-cleveland-ohio-10-20-2024/event/0500610EAE011E25","en-us","2024-10-16"
"G5eVZb1Bnm7Ul","A Boogie Wit Da Hoodie: Better Off Alone Tour","https://concerts.livenation.com/a-boogie-wit-da-hoodie-better-charlotte-north-carolina-10-20-2024/event/2D0060AEAAB84DAB","en-us","2024-10-16"
"G5vVZbCl9FNS6","Ken Carson: Chaos Tour","https://concerts.livenation.com/ken-carson-chaos-tour-wallingford-connecticut-10-20-2024/event/1D0060EAD7223CC7","en-us","2024-10-16"
"vv178ZboGkU2Yenu","Lil Durk","https://www.ticketmaster.com/lil-durk-chicago-illinois-10-20-2024/event/0400611D8FC02A8D","en-us","2024-10-16"
"vvG1VZbG3_fo0V","Santa Fe Klan - Blanco y Negro US Tour","https://www.ticketmaster.com/santa-fe-klan-blanco-y-negro-tampa-florida-10-20-2024/event/0D0060C499511934","en-us","2024-10-16"
"vvG1bZbuK-Hbly","PROF - The Final Showing Tour","https://www.ticketmaster.com/prof-the-final-showing-tour-saint-louis-missouri-10-20-2024/event/060060D4E1F18AF9","en-us","2024-10-16"
"vv1AaZk79GkdpR0Nf","Rod Wave - Last Lap Tour","https://www.ticketmaster.com/rod-wave-last-lap-tour-inglewood-california-10-20-2024/event/09006117D6BE48D4","en-us","2024-10-16"
"vvG17Zb5TMxB7U","Homixide Gang - 5 Activity","https://concerts.livenation.com/homixide-gang-5-activity-boston-massachusetts-10-22-2024/event/010060BFF78BA136","en-us","2024-10-16"
"vvG17Zb1NJaMzS","Sueco - Attempted Lover Tour","https://concerts.livenation.com/sueco-attempted-lover-tour-boston-massachusetts-10-23-2024/event/010060A8E6277E33","en-us","2024-10-16"
"17FOvOG6Gbozx3O","Alvaro Diaz","https://concerts.livenation.com/alvaro-diaz-orlando-florida-10-23-2024/event/220060C611E224A0","en-us","2024-10-16"
"G5vVZbKeH_odR","GUNNA: Wun of Dem Nights","https://concerts.livenation.com/gunna-wun-of-dem-nights-wallingford-connecticut-10-23-2024/event/1D006130BC6510EF","en-us","2024-10-16"
"vvG1VZb1TszS6F","A Boogie Wit Da Hoodie: Better Off Alone Tour","https://www.ticketmaster.com/a-boogie-wit-da-hoodie-better-tampa-florida-10-23-2024/event/0D0060AFF1E331C8","en-us","2024-10-16"
"17FZvOG62Mm1eug","That Mexican OT","https://www.ticketmaster.com/that-mexican-ot-birmingham-alabama-10-23-2024/event/200060FDEE282375","en-us","2024-10-16"
"vv17jZboGklQ7xSJ","Luh Tyler: Mr Skii Tour","https://www.ticketmaster.com/luh-tyler-mr-skii-tour-madison-wisconsin-10-23-2024/event/0700611ADA122CE6","en-us","2024-10-16"
"vvG17Zb2XT_zbV","Terror Reid","https://concerts.livenation.com/terror-reid-boston-massachusetts-10-24-2024/event/010060FFBF678634","en-us","2024-10-16"
"17A8vOG65r_w-RP","Vince Staples - Black in America Tour","https://www.ticketmaster.com/vince-staples-black-in-america-tour-washington-district-of-columbia-10-24-2024/event/150060B799CA1BE5","en-us","2024-10-16"
"G5dIZbomwX48b","Akeem Ali - The Golden Groove Tour","https://www.ticketmaster.com/akeem-ali-the-golden-groove-tour-houston-texas-10-24-2024/event/3A00611BB2F95418","en-us","2024-10-16"
"vvG1IZb2X_3xBS","Db.boutabag","https://concerts.livenation.com/dbboutabag-san-diego-california-10-24-2024/event/0A0060FF994A2EB3","en-us","2024-10-16"
"1AYZk7tGkdowfv9","Power 99 Presents POWERHOUSE","https://www.ticketmaster.com/power-99-presents-powerhouse-philadelphia-pennsylvania-10-25-2024/event/30006129D1C94057","en-us","2024-10-16"
"vvG1zZbuJgM3ka","Rob49 and Skilla Baby","https://www.ticketmaster.com/rob49-and-skilla-baby-savannah-georgia-10-25-2024/event/0E0060D9B5DD2189","en-us","2024-10-16"
"k7vGFbCRuBICR","Ken Carson","https://www.ticketmaster.com/ken-carson-buffalo-new-york-10-25-2024/event/000060EBCDEA83AF","en-us","2024-10-16"
"1AeZZb8GkwB6-u0","DeJ Loaf - WHERE MY FANS TOUR","https://www.ticketmaster.com/dej-loaf-where-my-fans-tour-birmingham-alabama-10-25-2024/event/2000610CBA1E1364","en-us","2024-10-16"
"vvG1OZb2NLsNVo","Blxst - I'll Always Come Find You Tour","https://concerts.livenation.com/blxst-ill-always-come-find-you-detroit-michigan-10-26-2024/event/080060F8DFC63D11","en-us","2024-10-16"
"vv1AeZk7eGkePQ_18","Terror Reid - Manifesto Tour","https://concerts.livenation.com/terror-reid-manifesto-tour-philadelphia-pennsylvania-10-26-2024/event/02006102A5699290","en-us","2024-10-16"
"vvG1jZbGSNIS0n","Atmosphere - The Traveling Forever Tour","https://www.ticketmaster.com/atmosphere-the-traveling-forever-tour-madison-wisconsin-10-26-2024/event/070060CCE3A3392A","en-us","2024-10-16"
"vvG1YZbupsXSRx","Don Toliver - Psycho Tour","https://www.ticketmaster.com/don-toliver-psycho-tour-dallas-texas-10-27-2024/event/0C0060D5B1FB3BE2","en-us","2024-10-16"
